antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({'appliances - Refrigerators'}),frozenset({'appliances - Heating & Cooling Appliances'}),0.047466666666666664,0.046933333333333334,0.013333333333333334,0.2808988764044944,5.9850612870275794,0.011105564444444445,1.3253583333333332
frozenset({'appliances - Heating & Cooling Appliances'}),frozenset({'appliances - Refrigerators'}),0.046933333333333334,0.047466666666666664,0.013333333333333334,0.2840909090909091,5.98506128702758,0.011105564444444445,1.3305227513227516
frozenset({'home & kitchen - Indoor Lighting'}),frozenset({'appliances - Heating & Cooling Appliances'}),0.0416,0.046933333333333334,0.0061333333333333335,0.14743589743589744,3.14138986013986,0.004180906666666667,1.1178827067669173
frozenset({'appliances - Heating & Cooling Appliances'}),frozenset({'home & kitchen - Indoor Lighting'}),0.046933333333333334,0.0416,0.0061333333333333335,0.13068181818181818,3.14138986013986,0.004180906666666667,1.102473202614379
frozenset({'home & kitchen - Indoor Lighting'}),frozenset({'appliances - Refrigerators'}),0.0416,0.047466666666666664,0.0056,0.1346153846153846,2.8359982713915297,0.0036253866666666667,1.1007051851851852
frozenset({'appliances - Refrigerators'}),frozenset({'home & kitchen - Indoor Lighting'}),0.047466666666666664,0.0416,0.0056,0.11797752808988765,2.83599827139153,0.0036253866666666667,1.0865936305732484
frozenset({'home & kitchen - Indoor Lighting'}),frozenset({'home & kitchen - Home Improvement'}),0.0416,0.04346666666666667,0.0061333333333333335,0.14743589743589744,3.391930155733837,0.00432512,1.1219488721804511
frozenset({'home & kitchen - Home Improvement'}),frozenset({'home & kitchen - Indoor Lighting'}),0.04346666666666667,0.0416,0.0061333333333333335,0.1411042944785276,3.391930155733837,0.00432512,1.1158514285714285
frozenset({'home & kitchen - Home Storage'}),frozenset({'appliances - Refrigerators'}),0.0392,0.047466666666666664,0.0072,0.1836734693877551,3.869525338225178,0.005339306666666667,1.1668533333333333
frozenset({'appliances - Refrigerators'}),frozenset({'home & kitchen - Home Storage'}),0.047466666666666664,0.0392,0.0072,0.15168539325842698,3.869525338225178,0.005339306666666667,1.1325986754966888
frozenset({'home & kitchen - Home Storage'}),frozenset({'appliances - Kitchen & Home Appliances'}),0.0392,0.0416,0.005866666666666667,0.14965986394557823,3.5975928833071693,0.004235946666666667,1.1270784
frozenset({'appliances - Kitchen & Home Appliances'}),frozenset({'home & kitchen - Home Storage'}),0.0416,0.0392,0.005866666666666667,0.14102564102564102,3.5975928833071693,0.004235946666666667,1.1185432835820894
frozenset({'home & kitchen - Home Storage'}),frozenset({'home & kitchen - Home Improvement'}),0.0392,0.04346666666666667,0.0064,0.163265306122449,3.75610366846125,0.0046961066666666666,1.1431739837398374
frozenset({'home & kitchen - Home Improvement'}),frozenset({'home & kitchen - Home Storage'}),0.04346666666666667,0.0392,0.0064,0.147239263803681,3.75610366846125,0.0046961066666666666,1.1266935251798562
frozenset({'home & kitchen - Indoor Lighting'}),frozenset({'home & kitchen - Home Storage'}),0.0416,0.0392,0.005333333333333333,0.1282051282051282,3.270538984824699,0.0037026133333333336,1.102094117647059
frozenset({'home & kitchen - Home Storage'}),frozenset({'home & kitchen - Indoor Lighting'}),0.0392,0.0416,0.005333333333333333,0.1360544217687075,3.2705389848246997,0.0037026133333333336,1.1093291338582678
frozenset({'home & kitchen - Sewing & Craft Supplies'}),frozenset({'appliances - Heating & Cooling Appliances'}),0.0352,0.046933333333333334,0.005866666666666667,0.16666666666666666,3.5511363636363633,0.004214613333333333,1.1436799999999998
frozenset({'appliances - Heating & Cooling Appliances'}),frozenset({'home & kitchen - Sewing & Craft Supplies'}),0.046933333333333334,0.0352,0.005866666666666667,0.125,3.5511363636363633,0.004214613333333333,1.1026285714285715
